,cleaned_tweets,nilai,sentimen
1953,selama isoman telepon sana sini mencari rs rujukan covid jakarta yang mau ngerawat lebih dari rs kasih informasi kalau ruang rawat covod sudah penuh bahkan mencari rs sampai ke bintaro tangerang depok bekasi tidak ada tempat lagi,-8,negatif
1954,warga depok yang meninggal akibat covid bisa dapat santunan kematian rp juta ini syaratnya download aplikasi tribunnews untuk update berita terbaru dapatkan untuk android,-9,negatif
1955,cegah covid ratusan personel satlantas polres depok jalani rapites covid depok news,0,netral
1956,cegah covid ratusan personel satlantas polres depok jalani rapites covid,-1,netral
1957,untuk di depok positivity rate persen jadi hari ini dan kemarin saja di atas kasus baru covid,-5,negatif
1958,tapos depok khusus covid sek meninggal tahun kabeh,-7,negatif
1959,personel satlantas polres bantul melaksanakan giat sosialisasi cegah virus covid kepada wisatawan pantai depok,-1,netral
1960,okupansi tempat tidur pasien covid di depok makin tipis,1,netral
1961,perpanjang pembatasan kegiatan usaha jadi cara pemerintah kota depok cegah penyebaran covid,6,positif
1962,saya memang dulunya nge kos di serpong makanya saya juga waktu itu sempat jadi bagian dari tangerang cuma sudah tidak apalagi karena corona makanya saya deh tidak nge kos lagi pulang ke depok itu bocah maksa banget lagi covid di srh ke serpong dan dengan pada kalau dsana ngikutin protokol,-47,negatif
1963,tahu tu pernah di chat p sama orang tidak kenal ngakunya anak banten sudah itu di sruh ke tangerang lagi orang lagi di depok lagi corona,-4,negatif
1964,kirain corona tidak nyampe depok soalnya ramai terus,-4,negatif
1965,jumlah pasien covid di depok sudah meningkat tajam hampir persen sejak awal lonjakan pada november menjadi pasien per kemarin,7,positif
1966,mar tidak ada uang lagi yang istimewa di bulan maret karena korona sudah mulai masuk indo kayaknya mulai gempar yang orang depok kena itu deh,-24,negatif
1967,lebihi standar who tingkat keterisian tempat tidur pasien covid di rumah sakit kota depok capai persen cari berita lain klik di sini,-10,negatif
1968,pemerintah kota depok perpanjang pembatasan kegiatan usaha hingga januari pemerintah kota depok juga masih membatasi aktivitas warga di luar rumah dalam upaya menekan risiko penularan covid kata idris,1,netral
1969,tekan penyebaran covid pemerintah kota depok perpanjang pembatasan kegiatan usaha hingga januari,4,positif
1970,menuju kolapsnya sistem layanan kesehatan tetangga selang rumah suami istri positif sudah kontak ke satgas covid depok disarankan agar isoman karena rumah sakit penuh,-1,netral
1971,pernikahan mengharukan warga depok pasien covid di wisma atlet kemayoran jumat januari semoga sakinah mawaddah warahmah lengkapnya baca,5,positif
1972,perilaku baru warga depok anggap situasi covid sudah kembali seperti waktu normal download aplikasi tribunnews untuk update berita terbaru dapatkan untuk android lewat,4,positif
1973,tingkat hunian rumah sakit covid di kota depok di atas,-7,negatif
1974,pemerintah kota depok juga masih membatasi aktivitas warga di luar rumah dalam upaya menekan risiko penularan covid,-3,negatif
1975,pasien corona yang kian meningkat membuat sejumlah rumah sakit di depok harus menambah kapasitas tempat tidurnya,-9,negatif
1976,corona di depok percobaan vaksin didepok renyhard siaga tinggal di depok aduh depok depok,7,positif
1977,kapolsek ps rebo kompol m budiyono sh mm pimpin pengamanan pergantian tahun cegah covid dalam monitoring waka polres jaktim lokasi jl raya bogor kamu perbatasan jaktim depok,4,positif
1978,karena terdampak pandemi covid dalam postingan video tersebut dijelaskan jika keluarga tersebut tidak pernah mendapatkan bantuan sosial sembilan bahan pokok dari pemerintah kota pemerintah kota depok selengkapnya di,-5,negatif
1979,saya ldr depok bandung selama corona bahkan tidak ada ketemuan berbulan endingnya alhamdulillah sudah menikah ldr tidak seburuk itu asal menemukan pasangan yang tepat semangat,-4,negatif
1980,pemerintah berikan santunan kematian untuk ahli waris yang meninggal akibat covid ini syarat pengajuannya depok news,-7,negatif
1981,dan dulu itu berita covid seperti cuma simpang siur dan setelah seminggu kemudian saya sembuh baru heboh soal pasien covid pertama yang ada di depok terus saya kayak omg gejelanya sama kaya skit saya kemarin,-21,negatif
1982,untuk izmi di tahun awal maret awal ramai covid pasti panik karena tiba tiba sakit habis dari depok alhamdulillah bukan covid semoga sehat terus izmi,7,positif
1983,diselingi dengan persiapan optk dan uts yang diwarnai dengan perubahan jadwal karena banjir wkwkk setelah uts benar langsung berangkat optk terus nekat terjun sp onlen ke cibubur pas lagi heboh kasus covid pertama di depok,6,positif
1984,saya gajadi menginap di shbt w di depok gegara ibu ayah takut banget sm covid padahal saya mau curahan hati saja semaleman karena sudah sebulan tidak ketemu terus depan rumah saya tu rumah ade kelas waktu smp dan mereka bakar yak itulah cerita sedih saya di akhir tahun ini terimakasih,-11,negatif
1985,bantu up yaa gaaesss teman yang baik ini ada teman sedang di icu karena covid darurat membutuhkan plasma darah ab dari penyintas covid nyh sudah sembuh barangkali bisa bantu informasi domisili orang ini cimanggis depok kontak budi,18,positif
1986,"ih mau ke depok corona hilang aku on the way, sedang di jalan ksana hue",2,netral
1987,warga depok yang saya cintai kondisi saat ini ruang isolasi untuk pasien covid di kota depok sudah hampir penuh oleh karenanya dalam menghadapi libur tahun baru pemerintah kota depok mengeluarkan beberapa kebijakan,5,positif
1988,pemerintah kota pemerintah kota depok sudah mengeluarkan surat edaran yang berisi imbauan kepada masyarakat agar tidak bepergian di saat malam tahun baru juru bicara satgas covid dadang wihana mengatakan pihaknya sudah menyiapkan titik titik penjagaa,-13,negatif
1989,hal tersebut kata idris lantaran kota depok masih berada pada zona risiko tinggi atau zona merah covid bahkan menurut idris kasus covid masih terus meningkat di wilayahnya lewat,2,netral
1990,bahagia nu year semoga covid berlalu bersama depok,3,positif
1991,nyuwun sewu bade tanglet kemarin pemilihan kepala daerah yang terpilih siapa saya ngak mencoblos saya orang purworejo mau pulang takut covid saya perantau dari tangerang ngak mencoblos soal lembur kerja suwu,-17,negatif
1992,sedih banget tahun baru sodara saya tergokil bahkan positif covid sudah punya planning gabut sampai ke depok yauda begitu hancur saja mood saya,-9,negatif
1993,depok banyak korona,2,netral
1994,iyaa bethul dekett banget ma stasiun pasming main main ke depok juga bisaaaaa akh ayo begone corona,8,positif
1995,masyarakat penerima vaksin covid akan mendapat sms pada hari ini kamis detailnya di siapa yang sudah dapat sms,5,positif
1996,polrestro depok bersama tim gabungan yang terdiri dari tni serta satgas covid kota depok memetakan ada titik keramaian pada malam tahun baru,-16,negatif
1997,malam tahun baru tetap saja banyak yang bersiap bikin acara meski disekitar rumah sudah ada yang siap nyate kembang api makan bersama dan lain-lain semoga ada arahan dan kontrol ketat agar terhindar dari penyebaran covid,1,netral
1998,uwaduuuu makssii jugaa my bestyyyy beruntung bgtt ketemu sama luu oiya kapan ini ambis barengg ingin ke depok tapi corona,7,positif
1999,nah pas covid ini coba byangkan di brebes bahkan balik ke depok cuma buat nemuin cowoknya ini tertawa bucin banget aish pasangan ini kalau ngomentari aku sok suci banget kan memang si aku kalau pakai jilbab tidak syari tapi kan kalian juga pacaran nape ngurusin orang,16,positif
2000,balik ke depok tidak pulang sebulan saja padahal banyak toko yang sudah gulung tiker dang this covid yaa yang punya usaha tetap semangat yaa,-5,negatif
2001,semangat dan motivasi endah winarti sembuh dari covid depok news,7,positif
2002,anjing besok januari perasaan belum lama berita dua orang di depok terkena virus covid,-12,negatif
2003,sahabat tweet land bantu follow rimbun ayo semoga kita bisa tetap saling memberi manfaat untuk anak anak di masa pandemik covid cc sahabat semua,16,positif
2004,aku jadi bisa throwback dan jalan ke masalalu lewat pengalaman dan tulisanku sendiri aku bahkan nulis maret kasus covid pertamadi indonesia warga depok status darurat covid asalnya minggu diperpanjang sampai akhir april,6,positif
2005,satgas pencegahan covid depok minta masyarakat terapkan m imun iman,8,positif
2006,perkuat kapasitas satgas kampung siaga covid di depok akademisi ui beri pelatihan,4,positif
2007,depok di perpanjang sekolah onlinenya sampai bulan juni ini mksdnya corona smpe bulan juni masih ada donk,6,positif
2008,mendingan pks mengurus wilayah depok saja yang katanya siswi smp sudah tidak perawan tidak perlu ikut campur urusan pemerintah,-13,negatif
2009,tangerang yogya jakarta depok semuanya tidak ada corona dia cuma ada di twitter dan ketika kamu mau ngeritik ketidakbecusan pemerintah mengurus pandemi sambil koordinir futsal bareng,-3,negatif
2010,corona bodyshaming hyung tertawa swab antigen rb rapid test antibody rb pcr swab x jam harga jt dapat surat resmi keterangan klinik harga diatas untuk area bekasi jakarta cikarang depok cukup tambah rb kami yang datang,3,positif
2011,berikut informasi terkait vaksin covid kota depok,0,netral
2012,benarkah ini rencana program vaksinasi covid kota depok kok tidak lihat guru dan dosen cc,4,positif
2013,ada delapan pegawai pt tai di kota depok yang positif covid,-1,netral
2014,ini yang perlu kita charm kan mengulang kesalahan yang sama saat menyepelekan covid pertama kali di depok adalah hal paling belegug strain baru mungkin belum hijrah namun tidak nutup kemungkinan mudah menkes yang sarjana nuklir bisa merudal covid new strain,-18,negatif
2015,corona begal gangster ada lagi tidak tambahan untuk kota depok,-6,negatif
2016,aktivitas di pt tai yang ada di simpangan depok ditutup sementara penutupan dilakukan menyusul delapan karyawan yang terkonfirmasi positif covid pabrik ditutup sementara sejak desember hingga januari kepala dinas tenaga kerja kota,-11,negatif
2017,kasihan anak depok sudah pada ayah ibu kena tonjok daerah syariah kok pada meriah urusan seputar bawah covid belum berlalu tapi selangkangan ingat selalu,-11,negatif
2018,dok maaf dok mau tanya ini di rw baktijaya depok rumah sudah isolasi karena covid apakah solat berjamaah dimasjid sebaiknya di hentikan sementara dari lurah tidak ada himbauan jadi jamaah masih pada datang kemasjid mohon jika bisa lurah baktijaya dihimbau,8,positif
2019,ketika awal adanya virus corona sebahagian besar negara barat dan eropa tertular bahkan asean sklipun da nyampe kita masih dikatakan aman saja bahkan who pun meragukan dan tiba dwaaaarrrr warga depok telah tertular satu keluarga maka selanjutnya terserah anda,-7,negatif
2020,orang tua lampung tapi sekolah di depok tapi lagi di lampung krna korona,-5,negatif
2021,untuk saat ini depok tapi lagi korona jadi di lampung,-3,negatif
2022,corona covid meningkat siapa yang akan di jadikan setelah pemilihan kepala daerah daerah penyelenggara bergerak merah berita rumah sakit depok dan lain lain ayooooooooo siapa tanggungjawab atau cukup,-21,negatif
2023,ui malu karena kasus covid pertama di depok tapi kok yang lebih banyak bahkan jakarta jadilah milih jakarta,-5,negatif
2024,daya tampung rsud depok nyaris penuh pasien covid antre di igd saat ini ruangan hcu pun telah penuh pihak rsud berencana menambah bed di ruang icu menjadi,-7,negatif
2025,hadapi covid wali kota depok beri pesan ini kepada para nakes depok news,5,positif
2026,cerita hari ini dimulai dengan kue dari mbak anti yang kemarin ngerayain natal dan ditutup dengan update corona yang hari ini mencapai ke confirmed cases this is what kamu call life is never flat depok,-14,negatif
2027,depok hebat angka kesembuhan covid naik penyebaran covid turun bismillah terimakasih allah engkau mau menyelamatkan orang yang mengimani mu,9,positif
2028,hadapi covid wali kota depok beri pesan ini kepada para nakes,4,positif
2029,mutualan raya yang dom depok apa after corona tidak pingin meet up di gramed margonda atau dimana begitu,-12,negatif
2030,sebagai informasi pasien covid antri di ugd rs depok merdeka banyak rs overlord by lalu lihat foto kedatangan dari ln semalam bagaimana nasip kita aku deh hampir jadi zombie setahun nahan buat tidak kemana kerjaan hampir semua diancel demi pandemi cepat kelar tapi apa,0,netral
2031,tetap harus menerapkan protokol kesehatan walau sudah divaksin sekalipun gisel gading gempi depok anies,-1,netral
2032,maret beberapa kabar gembira hadir tapi deg degan juga karena korona di depok,5,positif
2033,awal tahun didatangin corona akhir tahun ditinggal ui depok,-3,negatif
2034,lah yoh sakno depok sing corona depok vaksin depok saiki kenekan depok tertawa,15,positif
2035,selasa wali kota menyerahkan penghargaan restoran sehat di depok dari kementerian kesehatan ri kepada restoran sushi tei dan bumi sampireun yang telah melakukan penerapan protokol kesehatan covid,-10,negatif
2036,kalau bicara tentang travel time and delay ruas jalan lokal yang asik buat dianalisis tentu jl raden saleh sukmajaya depok saya heran dari saya sama sampai covid begini ada saja yang bikin delay dan waktu tempuh bertambah wkwkwkwk,-20,negatif
2037,aku masih kaget pas dikabarin mbah yang di depok positif corona,6,positif
2038,pasien covid antre masuk igd rsud depok,-4,negatif
2039,pekerjaan tidak punya pekerjaan dari juni hanya serabutan bantu mertua rencana jualan di lapak mertua bojongsari depok semoga menang sudah dari dulu mau usaha angkringan modal belum ada bahkan covid datang,12,positif
2040,depok memprihatinkan dalam radius m ada yang isolasi mandiri ada yang meninggal karena corona tapi pemerintah kota anteng saja lama lama bisa punah kalau kaya begini di urus pks tidak ada benernya ini kota,-27,negatif
2041,masih corona sam di depok game center belum dibuka,1,netral
2042,klaster covid pabrik di depok dari keluarga,0,netral
2043,dalam satu pekan liburan natal kasus kasus positif covid terbaru kebanyakan terjadi di kelurahan jakarta yang berbatasan dengan bogor depok tangerang dan bekasi,17,positif
2044,jan di cina ada virus feb virus di cina gawat jauh tertawa tom hanks istri kena covid survive tidak mar wah covid masuk indo depok april agustus tmn tidak ada yang kena aman september des doain tmn dan orang tuanya yang kena covid untuk cepat sembuh,-24,negatif
2045,ada apa kok menyampaikan yang tidak punya basis data yang akurat sah yang dikhawatirkan lebih banyak mudlarat kasihan menimbulkan keresahan image negatif bagi anak anak perempuan di depok sedang apa membicarakan yang meresahkan pada saat kondisi sulit pandemik covid,-30,negatif
2046,pks ini kalau bahas soal selangkangan jago yah pagi ada berita anggota dpr pks bilang siswa di depok tidak perawan dari mana asal data itu kamu cek satu orang lagi berjuanh lawan covid ini bahkan bikin stigma bagaimana rasa para orang tua anak di depok itu,-21,negatif
2047,jumlah kasus aktif covid di depok kini mencapai pasien,4,positif
2048,pegawai positif covid pt tai depok tutup sementara dan simak juga berita terkini lainnya di situs,-3,negatif
2049,depok trend gegara covid lagi ye lah saya mau medical check up di depok hari ini,-3,negatif
2050,pegawai positif covid pt tai depok tutup sementara kepala dinas tenaga kerja kota depok manto mengatakan delapan karyawan itu diketahui setelah hasil tracing,7,positif
2051,pmi depok beri penghargaan untuk relawan covid dan dds,5,positif
2052,lonjakan terus terjadi depok catat kasus baru covid terbanyak sejak maret,2,netral
2053,disnaker kota depok mengumumkan ada pegawai di pabrik korek api gas pt tai yang positif corona,6,positif
2054,zona merah covid jabar depok karawang bandung barat tasik dan kalau belum puas ayo baca berita lainnya di situs,10,positif
2055,barangkali ada yang membutuhkan screening test covid wilayah depok timur dan sekitarnya untuk keperluan dokumen berpergian keluar kota atau keperluan lainnya klinik bhakti kerinci menyediakan layanan swab antigen dan rapid antibodi dengan harga yang terjangkau terima kasih,11,positif
2056,di komplek depok sbln kdg kdg sevulan sjk ada coivd memang komplek lama banyak pensiunan sudah pada sepuh tapi tidak sbyk ini pas belum covid,5,positif
2057,nape depok si korona ganas di sana,-9,negatif
2058,miin aplikasi down apa tidak ada cara lain saya butuh test covid yang menit jadi malam ini di daerah depok tolooong,-29,negatif
2059,desain ini dibuat saat corona baru menjamah makhluk hidup di depok,8,positif
2060,ketua pengadilan negeri pn kota depok terpapar covid kantor pelayanan publik ini pun ditutup sementara penutupan dilakukan selama tiga hari mulai desember selain ketua panitera muda panmud di pn kota depok juga terpapar covid,-11,negatif
2061,pegawai positif covid pabrik tai di depok tutup hingga januari,-1,netral
2062,indonesia authorities extend covid restrictions in bekasi and depok until january update,-1,netral
2063,ketua dan panitera muda positif corona pn depok ditutup sementara ketua pengadilan negeri depok sutiyono positif covid selain itu satu orang lainnya yang merupakan panitera muda hukum juga ikut terpapar untuk mencegah penularan virus kantor pn,-11,negatif
2064,karyawan pabrik korek gas di depok terpapar covid,2,netral
2065,indonesia authorities extend covid rules in bekasi bogor and depok through jan,-1,netral
2066,ketua dan panitera pn depok positif covid pelayanan dibatasi,6,positif
2067,pn depok berkoordinasi dengan tim gugus tugas covid,-10,negatif
2068,ketua dan panitera muda positif covid persidangan di pengadilan negeri depok dibatasi download aplikasi tribunnews untuk update berita terbaru dapatkan untuk android lewat,1,netral
2069,ketua pengadilan negeri depok positif covid sidang dibatasi,4,positif
2070,ketua pengadilan negeri pn depok sutiyono dilaporkan terkonfirmasi positif covid bersama panitera muda hukum,7,positif
2071,hari ke di ruang isolasi kasus corona di depok makin tinggi rs pun sudah penuh akhirnya dirujuk ke rs di jakarta tetap jaga kesehatan,6,positif
2072,selain ketua pn depok panitera di pengadilan itu juga positf corona,-3,negatif
2073,ketua pn depok positif covid kantor pn ditutup sementara,-1,netral
2074,tidak tahu tidak ada kabar isunya kan politeknik prakteknye offline tapi kayaknya depok yekan tidak mungkin korona saja makin banyak,-8,negatif
2075,himbauan bagi warga depok bahwa pada perayaan malam tahun baru diminta untuk tidak merayakan malam tahun baru dengan berkumpul untuk mencegah penyebaran virus covid perayaan malam tahun baru bisa dilaksanakan di rumah saja,-15,negatif
2076,ketua pn depok terpapar covid kantor pn depok ditutup sementara,-4,negatif
2077,kota depok menetapkan rw sebagai wilayah pembatasan sosial kampung siaga psks covid selama hari,-6,negatif
2078,model alegnya begini bukannya pemerintahan depok dari pks maksudnya self critics atau gemana,-4,negatif
2079,depok tetapkan rukun warga jadi wilayah psks covid,0,netral
2080,semoga penerapan prokes yang di lakukan koramil depok bersam tim gugus tugas ini dapat mengantisipasi penularan virus covid sehingga depok bisa menjadi wilayah sehat dan jauh dari wabah covid,-17,negatif
2081,hobi tanaman hias di era pandemi covid hasilkan pundi rupiah depok news,-1,netral
2082,bila tidak ada penanganan serius dari pemerintah kota bukan tidak mungkin depok kembali ke zona hitam lagi cara terbaik untuk melindungi diri sendiri hanya kepatuhan akan protokol kesehatan ketat percaya bahwa setiap orang membawa virus corona,-25,negatif
2083,kesadaran dari diri sendiri dibutuhkan dalam mencegah paparan virus corona untuk mengantisipasi keseriusan pemerintah kota depok yang terkesan asal dalam mengatasi pandemi ini lonjakan terus terjadi depok catat kasus baru covid terbanyak sejak maret klik untuk baca,-6,negatif
2084,dia chek kebenaran kan daftar hitam nah kata warga berita di jakarta daftar hitam covid itu yang buat kata orang sana bupati dan pejabat biar orang dari jakarta bekasi depok tidak ke banyuwangi teman saya cuma bilang ouh akalan saja,-41,negatif
2085,mengerikan kasus baru covid di depok cetak rekor,3,positif
2086,rw di depok ditetapkan pembatasan sosial kampung corona,3,positif
2087,sangat tidak layak anggota dewan saya mengharapkan orang tua se depok mengajukan keberatan atas pernyataan ini,-15,negatif
2088,depok sumber corona di indo takut,-3,negatif
2089,yang anehnya depok dipimpi oleh kader pks yang notabene konon sangat religius,-6,negatif
2090,ooh jadi mksdnya disini selama pks mimpin depok tidak ada perubahan bahkan makin tidak benar dong anak mudanya waaah parah yaa,-4,negatif
2091,sebagai orang depok aku setuju dia dipolisikan biar dia buka data selengkapnya,0,netral
2092,rw di depok ditetapkan sebagai wilayah psks covid antara news jawa barat,-4,negatif
2093,zona merah covid pemerintah kota depok terapkan pembatasan sosial kampung siaga di rw dan masih banyak berita menarik lainnya di situs,10,positif
2094,sutiyoso terpapar dari panitera muda hukum pn kota depok nurlela yang memiliki riwayat positif covid,-5,negatif
2095,bikin seram kasus covid di depok pecahkan rekor lagi,-8,negatif
2096,penutupan layanan karena ketua dan panitera muda di pn kota depok terpapar covid,-6,negatif
2097,lantas apa saja yang di kerjakan yang sudah periode di depok atau memang ini hasilnya,-8,negatif
2098,apalah perasaan orangtua yang punya anak gadis smp di depok apa manfaatnya dia bicara itu layak dipolisikan,-8,negatif
2099,mnrt saya si jangan denial dulu lebih baik ditanya dia dapat data dari mana siapa tahu saja benar jadi peringatan untuk para orang tua guru dan pemerintah daerah depok supaya lbh perhatian ke masalah ini,-4,negatif
2100,tambah kasus baru covid di depok pecah rekor,2,netral
2101,like this corona discovered in november in china right nah saya di indonesia baru dapat kabarnya di januari akhir dan baru sampai kasus pertama di depok pada bulan maret dengan segala penyangkalan dari pemerintah dan menkes,-6,negatif
2102,pemerintah kota depok larang perayaan malam tahun baru menyusul meningkatnya kasus covid,-5,negatif
2103,hai i want to write to you about increasing number of sidewalk tent restaurants in depok these sidewalk restaurants are major clusters of covid and the administration has turned full blind eye to it please ask indonesian government to get rid,-1,netral
2104,kasus harian covid di kota depok bertambah orang pada ahad,-10,negatif
2105,depok asri bebas corona,-1,netral
2106,di depok juga begitu kang barusan pagi tadi tetangga konfirm disuruh pulang dulu smp ada kamar min ada referensi rs covid di depok rsui yang lain,-2,negatif
2107,lagi sekolah yang pertama kali presiden umumin kasus pertama corona di depok,-4,negatif
2108,aku lagi tertawa gegara baca twit dua orang depok positive corona nia ramadhani tidak tahu cara pakai masker,3,positif
2109,nenek di depok tewas saat antre mengambil bansos covid di kelurahan,0,netral
2110,lagi sholat ashar di masjid sekolah tbtb guru datang terus ngumumin gajadi renang soalnya yang kena covid di depok saya kirain hoaks taunya pas sampai rumah tv sama hp beritain itu tertawa terus pada bicara ahelah dari sekian banyak kota di indo kenapa harus depok,-5,negatif
2111,di sekolah deh kayaknya lagi istirahat terus pada bilang eh covid sudah sampai depok,-4,negatif
2112,pak cara lapor positive covid wilayah depok bagaimana yaa mohon informasi,5,positif
2113,ih lagi disekolah terus ngecek web dari who kayak data covid di dunia terus ada indonesia orang mana dari depok sumpah terus setelah itu saya batuk anying serem terus diisengin dapa katanya saya kena copid yeu sibabi,-29,negatif
2114,bangun siang lagi di dapur makan risol tbtb eyang bersih mulai sekarang itu korona ada di depok berasa tamu canda tamuuuu,-5,negatif
2115,saya lagi sedang apa di sekolah lagi ngobrol sm teman terus ada yang bilang ada yang kena covid di depok kaget dong soalnya dekat banget sm bogor langsung deh gosip,-12,negatif
2116,literally saya sama kak livi di sofa berdua terus lagi pusing kerjaan nerima berita covid dan ternyata orang depok as the only three depok saram plus kak nila in the team kita bertiga langsung chat begini,3,positif
2117,lagi main di rumah teman guaa terus tahu kalau orang depok yang kena covid pertama terus panik ketawa gajelas dan teman saya langsung beli masker wkwkwkwkwk,-2,negatif
2118,itu kirim alat medis ke purwokerto spesial rekuest covid apd depok purwokerto jam tembus malam jalan sebelum subuh deh sampai mau pakai mobil kelamaan mikirnya,9,positif
2119,psbb pra akb dalam penanganan covid di kota depok diperpanjang dari tanggal desember sampai dengan januari sesuai dengan keputusan wali kota depok tahun link download pdf,4,positif
2120,hingga jumat desember satgas covid kota depok mencatat kasus positif covid bertambah kasus dalam satu hari,3,positif
2121,pemerintah kota kota depok menyebutkan bahwa jumlah pasien sembuh dari covid meningkat,-1,netral
2122,kasus baru covid di depok masih tinggi,2,netral
2123,ayo kita berpartisipasi untuk indonesia agar indonesia bebas covid depok,-1,netral
2124,kota depok kembali memiliki lokasi isolasi bagi pasien covid yakni di area kampus universitas indonesia,0,netral
2125,melihat sendiri bagaimana kasus covid bagaimana dan kondisi rs di depok dan sebagian jakarta gausah keluar rumah kalau memang tidak penting banget gais serius,-8,negatif
2126,ada kampung tangguh covid di depok dilengkapi lumbung pangan,8,positif
2127,keluargaku juga pernah diginiin pas awal covid aku disuru pulkam dari depok bahkan dijauhin dibilang positif carrier anjim habis itu isolasi mandiri hari dengan sabar dibilang harusnya tidak usa pulang dan lain-lain eh keluarga yang ngefitnah ini kena meninggal baru awal bulan kemarin,-5,negatif
2128,selama lima hari angka meninggal covid di depok bertambah kasus,-10,negatif
2129,ih ih ih kamu pada tahu tidak di tempat saya kan logatnya seperti betawi tapi sunda tidak terus mereka bicara covid itu koped koped di balik jadi apa hayo depok itu kan benar pantes depok itu cc alias corona city,-22,negatif
2130,warga depok merasa covid itu tidak ada,-6,negatif
2131,allah beruntung banget punnya teman teman yang kerja di rs rujukan covid kususnya di depok jadi kalau ada apa apa bisa nannya hmm my allah bless and guide you teman-teman,9,positif
2132,pemerintah kota depok siapkan psj ui jadi isolasi mandiri otg covid antara news jawa barat,-3,negatif
2133,perangi covid gugus tugas depok tambah volume swab pcr dan kapasitas di rumah sakit rujukan download aplikasi tribunnews untuk update berita terbaru dapatkan untuk android lewat,-2,negatif
2134,aman karena optimisme palsu dari pemerintahan menjadikan covid sebagai lelucon duarr tiba tiba satu warga indonesia di depok menjadi korban pertama covid masyarakat yang panik langsung kalang kabut mulai dari panic buying hingga masyarakat yang mencoba cari rezeki,-28,negatif
2135,gedung pusat studi jepang universitas indonesia di depok jadi lokasi karantina covid download aplikasi tribunnews untuk update berita terbaru dapatkan untuk android lewat,7,positif
2136,perpanjangan kegiatan usaha atas rekomendasi satgas covid depok,1,netral
2137,pemerintah kota depok jawa barat menyiapkan guest house pusat studi jepang psj universitas indonesia sebagai tempat isolasi mandiri orang tanpa gejala otg covid,-2,negatif
2138,pemerintah kota depok siapkan psj ui jadi lokasi isolasi mandiri otg covid sebelumnya pemerintah kota bersama badan nasional penanggulangan bencana bnpb juga sudah menyediakan wisma makara ui gedung tersebut menjadi tempat isolasi khusus bagi otg dengan kapasitas,4,positif
2139,depok siapkan psj ui jadi tempat isolasi mandiri pasien tanpa gejala covid,-6,negatif
2140,libur akhir tahun pemerintah kota depok batasi asn bepergian keluar daerah wali kota depok mohammad idris mengatakan asn yang hendak melakukan perjalanan ke luar daerah harus mempertimbangkan peta zonasi risiko penularan covid serta memperhatikan kebijakan,-7,negatif
2141,rambut juga baru di potong waktu itu masih seneng banget lah kasus corona di indo waktu itu masih orang yang orang depok itu kalau tidak salah wkwkw,-21,negatif
2142,pemerintah kota depok siapkan psj ui jadi isolasi mandiri otg covid,-3,negatif
2143,ingat teman-teman kita masih pbb karena covid belum selesai pemerintah kota depok kembali memperpanjang pembatasan sosial berskala besar psbb proporsional hingga januari perpanjangan tersebut dikarenakan kota depok masih dalam kategori zona merah,17,positif
2144,pasien sembuh covid di kota depok terus bertambah,-3,negatif
2145,pasien sembuh covid terus bertambah hari ini sebanyak orang depok news,-2,negatif
2146,depok depok depok corona tidak ada hrg dirinya di kota ini,-1,netral
2147,tadi beli bubur ayam terus denger pelanggan sm ibu yang bantu kang bubur ayam membicarakan covid terus pelanggannya bilang begini covidnya sudah pindah ke jakarta selatan disini sudah tidak ada sudah aman depok pindah dikira ngontrak apa itu virus,1,netral
2148,kenapa pasien positif covid di depok cma di rawat hri padahal si pasien belum sembuh dan msih positif covid dan di pulangkan,12,positif
2149,berdasarkan data di gugus tugas percepatan penanganan covid gtppc kota depok per kamis jumlah warga depok yang meninggal dunia telah mencapai lewat,-18,negatif
2150,kalau sebentar percakapannya begini di gedung dpr after corona baru kerja di sini b kamu juga saya juga lulusan mana kamu b pol kampus depok kamu anjing kita sekampus plus satu jurusan anjing dih apa saya frik,-18,negatif
2151,mohon nomor telepon satgas covid wilayah depok dong saya mau lapor,5,positif
2152,setelah wisma makara kini pusat studi jepang ui juga dijadikan tempat isolasi mandiri pasien covid depok news,6,positif
2153,ribuan masker itu sebagian diserahkan kepada satgas penanganan covid depok,-2,negatif
2154,kemarin coba cari rujukan covid ke rs di bogor dan sekitar bogor depok bekasi jakarta tangerang total rs lebih begitu semua full,-4,negatif
2155,rilis covid kota depok,1,netral
2156,mk patut dicurigai bhw covid di ina bukan hanya dimulai di depok saja tapi sudah ada di mana yang saya sayangkan justru waktu beberapa pulau masih zero mengapa pem tidak lock out pulau itu dan lock out juga kabupaten atau kota tertentu yang zero kalau yang lockout tidak mampu x,-40,negatif
2157,wadohhh bagaimana ini antri ambil bansos di kantor kelurahan tapos kecamatan tapos kota depok jawa barat dikasih dana rb saja sudah begitu tidak menerapkan protokol kesehatan dear pak ini bagaimana pak rb kurang kalau begitu buat beli obat covid,-8,negatif
2158,tadinya mau ibadah ke gereja di depok tapi dikabarin saudara katanya tidak ada ibadah tatap muka di depok teman pemuda dulu di gereja juga banyak yang kena covid Cuma syukur sudah pada sembuh semua,15,positif
2159,perbedaan pemeriksaan covid rumah sakit puri cinere,-6,negatif
2160,paket saya apa kabar minn kena covid tah di karantina dulu kok tidak update hampir seminggu bgtu ajaa cuma dari depok ke tangsel ini woiii,-12,negatif
2161,depok masih zona merah covid bekasi dan bogor sudah oranye,6,positif
